airline_name,total_flights,avg_arrival_delay,avg_departure_delay,cancellation_rate_pct,delayed_rate_pct,on_time_rate_pct
Southwest Airlines Co.,1261855,4.37,10.58,1.27,37.31,61.15
Delta Air Lines Inc.,875881,0.19,7.37,0.44,28.64,70.72
American Airlines Inc.,725984,3.45,8.9,1.5,34.74,63.46
Skywest Airlines Inc.,588353,5.85,7.8,1.69,37.81,60.23
Atlantic Southeast Airlines,571977,6.59,8.72,2.66,37.28,59.71
United Air Lines Inc.,515723,5.43,14.44,1.27,36.11,62.35
American Eagle Airlines Inc.,294632,6.46,10.13,5.1,35.13,59.49
JetBlue Airways,267048,6.68,11.51,1.6,38.19,59.93
US Airways Inc.,198715,3.71,6.14,2.05,38.39,59.35
Alaska Airlines Inc.,172521,-0.98,1.79,0.39,33.01,66.36
Spirit Air Lines,117379,14.47,15.94,1.71,48.46,49.67
Frontier Airlines Inc.,90836,12.5,13.35,0.65,45.39,53.79
Hawaiian Airlines Inc.,76272,2.02,0.49,0.22,39.57,60.13
Virgin America,61903,4.74,9.02,0.86,39.06,59.88
