YEAR,MONTH,month_date,total_flights,avg_arrival_delay,avg_departure_delay,cancellation_rate_pct,delayed_rate_pct,on_time_rate_pct
2015,1,2015-01-01,469968,5.81,9.76,2.55,38.96,58.28
2015,2,2015-02-01,429191,8.32,11.89,4.78,40.88,54.11
2015,3,2015-03-01,504312,4.92,9.66,2.18,37.7,59.88
2015,4,2015-04-01,485151,3.16,7.72,0.93,35.42,63.37
2015,5,2015-05-01,496993,4.49,9.45,1.15,35.25,63.27
2015,6,2015-06-01,503897,9.6,13.99,1.81,41.08,56.73
2015,7,2015-07-01,520718,6.43,11.39,0.92,38.35,60.43
2015,8,2015-08-01,510536,4.61,9.93,0.99,35.43,63.28
2015,9,2015-09-01,464946,-0.77,4.82,0.45,28.7,70.7
2015,10,2015-10-01,486165,-0.78,4.98,0.5,29.05,70.27
2015,11,2015-11-01,467972,1.1,6.94,0.98,31.93,66.87
2015,12,2015-12-01,479230,6.09,11.78,1.68,37.45,60.56
